id,proveedor,pagina,imagen,nombre_original,url
AIM-P001-027,Designs Aimari,1,AIM-P001-027.jpg,Pattern Sports Degrade Line Pink,https://media.designsaimari.com/products/cmtw2h8st4fisla01tujm37zr/previews/1789077379911-53693311-e3ea-485b-8816-9709c79134fd.jpg
AIM-P001-028,Designs Aimari,1,AIM-P001-028.jpg,OLIMPIADAS ECUADOR,https://media.designsaimari.com/products/cmtw1y68r4kfiqi01ozv2ayav/previews/1789076492681-a6dc9cf4-db07-4b3c-856d-00d8cb654d44.jpg
AIM-P001-029,Designs Aimari,1,AIM-P001-029.jpg,Sporting Design Colors,https://media.designsaimari.com/products/cmtw107om4k66qi01wgk0eyrz/previews/1789074905762-84c558bc-6d05-408d-b1ca-9a1863396ec7.jpg
AIM-P001-030,Designs Aimari,1,AIM-P001-030.jpg,La Banda Del Coliseo,https://media.designsaimari.com/products/cmtw0ypkj4f1hla01ei3pmdf2/previews/1789074837351-eacc4fcb-5730-4130-8609-f53d5260653a.jpg
AIM-P001-031,Designs Aimari,1,AIM-P001-031.jpg,Envinadas,https://media.designsaimari.com/products/cmtvzrdl64egula01r1mmx1b5/previews/1789072814543-2fd9affb-2c19-4d45-973c-02278712d9a7.jpg
AIM-P001-032,Designs Aimari,1,AIM-P001-032.jpg,Jersey Sport Pattern Green,https://media.designsaimari.com/products/cmtvz0el04e15la010nkdbmmg/previews/1789071556151-f20ba5ba-d245-45e2-8ab3-24f850098be2.jpg
AIM-P001-033,Designs Aimari,1,AIM-P001-033.jpg,Sports Design Negro,https://media.designsaimari.com/products/cmtvyg2wb4ihqqi01ypihu9kv/previews/1789070607195-38ac2f7d-5591-4db5-9036-2971ce2edb52.jpg
AIM-P001-034,Designs Aimari,1,AIM-P001-034.jpg,Jersey Geometrico Lineal,https://media.designsaimari.com/products/cmtvyezvn4dlnla01f8s2i7b3/previews/1789070556600-0ec8c979-57ae-4c7c-8214-f8a4fe375268.jpg
AIM-P001-035,Designs Aimari,1,AIM-P001-035.jpg,Liverpool Tercera Equipación 2026-27,https://media.designsaimari.com/products/cmtvxg59g4cx6la01fymknroy/previews/1789068932338-652e6e9b-18ef-4cda-ad61-adea674c2f2e.jpg
AIM-P001-036,Designs Aimari,1,AIM-P001-036.jpg,Newcastle United,https://media.designsaimari.com/products/cmtvsdd4g4fbiqi0150brgs7o/previews/1789060403420-54122a30-3d52-4a05-8c9c-cd6cf2e69172.jpg
AIM-P001-037,Designs Aimari,1,AIM-P001-037.jpg,Designs Pontillizer Purple,https://media.designsaimari.com/products/cmtvrkit84ex3qi018dlsbr5d/previews/1789059057192-98067e82-f417-458b-8d1d-3faa6c315244.jpg
AIM-P001-038,Designs Aimari,1,AIM-P001-038.jpg,Grecia Grunge Design,https://media.designsaimari.com/products/cmtvqz9ds4eovqi01wupzqlbv/previews/1789058067528-16f73905-9c09-4a38-b6ea-25ec6061086c.jpg
AIM-P001-039,Designs Aimari,1,AIM-P001-039.jpg,Boca Juniors 2026-27 Third,https://media.designsaimari.com/products/cmtvqo3ew4eg4qi01r9o8h8n6/previews/1789057547383-825e7ca5-a5df-4c1c-b42a-d4679a22a6f1.jpg
AIM-P001-040,Designs Aimari,1,AIM-P001-040.jpg,Jersey Infantil Patines,https://media.designsaimari.com/products/cmtvq4zia499tla01cuyudz2j/previews/1789056690068-61bb2470-fc8a-44a3-b8c1-8e791305ad97.jpg
AIM-P001-041,Designs Aimari,1,AIM-P001-041.jpg,Virgen Rosario,https://media.designsaimari.com/products/cmtvpojr9490ala01363ybiiv/previews/1789055918968-a0a565f1-ff2c-4f4a-a39b-391c0a0bc17b.jpg
AIM-P001-042,Designs Aimari,1,AIM-P001-042.png,LDU Quito 26-27 Away,https://media.designsaimari.com/products/cmtvp7sel48p8la01zgacin8n/previews/1789055104955-4101c028-b505-4f66-b03d-061a475836c7.png
AIM-P001-043,Designs Aimari,1,AIM-P001-043.png,Scooby Do Concept,https://media.designsaimari.com/products/cmtvov8vl48j2la01f94omw1x/previews/1789054524019-f817945e-8ac2-446d-a9d5-bb0cf90b3ba1.png
AIM-P001-044,Designs Aimari,1,AIM-P001-044.jpg,Jersey Concept Señor Cautivo de Ayabaca Blanco_Azul,https://media.designsaimari.com/products/cmtvot07m4ddpqi01uw6hw93i/previews/1789054426374-34b5b396-59bb-4a30-88e2-db3bc97872e7.jpg
AIM-P001-045,Designs Aimari,1,AIM-P001-045.jpg,Monterrey Geometric Concept 2026,https://media.designsaimari.com/products/cmtvo0pfs47wnla01dfazmmif/previews/1789053095883-44f7455b-4ec2-42b8-8df9-5ebdb51bf69f.jpg
AIM-P001-046,Designs Aimari,1,AIM-P001-046.jpg,Sport Green,https://media.designsaimari.com/products/cmtvnqxia47rdla01jh2fgtdw/previews/1789052639398-aa4eacab-2038-42ba-bd66-7b3d3b375326.jpg
AIM-P001-047,Designs Aimari,1,AIM-P001-047.jpg,Sport Búho,https://media.designsaimari.com/products/cmtvmn0094773la0112gh8xt7/previews/1789050774883-3c166123-901f-4668-91ff-d06cf0876471.jpg
AIM-P001-048,Designs Aimari,1,AIM-P001-048.jpg,Jersey Sport Red Patron,https://media.designsaimari.com/products/cmtvlnu5s46idla01l6iibly3/previews/1789049134476-fc4e16fa-0d17-48a3-8e26-bcfac99deea0.jpg
AIM-P001-049,Designs Aimari,1,AIM-P001-049.jpg,ELITE FUTBOL FEMENINO,https://media.designsaimari.com/products/cmtvljse946epla01x3e1go3c/previews/1789049260683-e26fd1b9-a157-4f3e-98c4-3ecaa7ae6f0d.jpg
